k_1,b,ndcg_cut_10,ndcg_cut_5,p_10
1.6,0.8,0.1792472612834704,0.1440612924710387,0.0946428571428573
1.6,0.9,0.1768137062693674,0.1415037829368029,0.0933035714285716
1.6,1.0,0.1671602164199562,0.1321525651043447,0.0918154761904764
1.7,0.1,0.1544146905865356,0.1213927353493242,0.082886904761905
1.7,0.2,0.1589809197628084,0.1233951592235671,0.0855654761904764
1.7,0.3,0.1616265337435982,0.1277577723197899,0.0861607142857145
1.7,0.4,0.1662492484095809,0.1311072990421295,0.0885416666666669
1.7,0.5,0.1705289608435159,0.1383639047189655,0.0895833333333335
1.7,0.6,0.1731799961462391,0.1420401208476482,0.0906250000000002
1.7,0.7,0.1750289859355388,0.1421848285982262,0.0913690476190478
1.7,0.8,0.1790020459138067,0.1440416153091732,0.0946428571428573
1.7,0.9,0.1765621450995508,0.1412329475895393,0.0934523809523811
1.7,1.0,0.1669152224989857,0.1318841056144119,0.0915178571428573
1.8,0.1,0.1541014067956998,0.1206379013419717,0.082886904761905
1.8,0.2,0.1588482694758249,0.1225911203668851,0.0857142857142859
1.8,0.3,0.1614171802044379,0.1275220530064779,0.0861607142857145
1.8,0.4,0.1662806058009956,0.1315808757185088,0.0882440476190478
1.8,0.5,0.1707723607634955,0.1384086047413015,0.0897321428571431
1.8,0.6,0.1726663820063677,0.1417088760271532,0.0903273809523811
1.8,0.7,0.1738341851960763,0.1416147879925468,0.0907738095238097
1.8,0.8,0.178972296744908,0.1437753229810642,0.0946428571428573
1.8,0.9,0.1760143613973008,0.1409112428740777,0.0933035714285716
1.8,1.0,0.1664915225630526,0.1313529203154454,0.0916666666666669
1.9,0.1,0.1531753637169703,0.1213341946261847,0.0819940476190478
1.9,0.2,0.1589061356214684,0.1234875297541957,0.0857142857142859
1.9,0.3,0.1616020598222316,0.1274937092216873,0.086309523809524
1.9,0.4,0.1657429573881715,0.1313888890810322,0.0879464285714288
1.9,0.5,0.1710206689792215,0.137595631199867,0.0901785714285716
1.9,0.6,0.1730050839658526,0.1419293070346028,0.0904761904761907
1.9,0.7,0.1739208891744885,0.1418196655415274,0.0909226190476192
1.9,0.8,0.1787605569859794,0.1436426455128104,0.0944940476190478
1.9,0.9,0.1766167626049752,0.1407739531435784,0.0938988095238097
1.9,1.0,0.1667403303980732,0.1314426686692091,0.0918154761904764
2.0,0.1,0.1530320027698263,0.1216248797150888,0.0816964285714288
2.0,0.2,0.1587167252690644,0.1233504843790698,0.0855654761904764
2.0,0.3,0.1614482980090461,0.127562948889989,0.0861607142857145
2.0,0.4,0.1656819626220463,0.1311353687985526,0.0879464285714288
2.0,0.5,0.1709103183305657,0.1373404165199321,0.0903273809523812
2.0,0.6,0.1727089079738219,0.1418070221000555,0.0901785714285716
2.0,0.7,0.1731366937425623,0.1418686122400519,0.0901785714285716
2.0,0.8,0.1783518217883875,0.143104262921112,0.0944940476190478
2.0,0.9,0.1766875825545294,0.1404018107363787,0.0938988095238097
2.0,1.0,0.1656541955450035,0.1308896331818122,0.0912202380952383
